MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-14,16
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-15,47
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-16,17
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-17,70
AIA Thailand,+07:00,VITALITY SELF-REPORTED,2016-08-18,1
Discovery RSA,+02:00,APPLE,2016-08-13,146
Discovery RSA,+02:00,APPLE,2016-08-14,136
Discovery RSA,+02:00,APPLE,2016-08-15,204
Discovery RSA,+02:00,APPLE,2016-08-16,230
Discovery RSA,+02:00,APPLE,2016-08-17,158
Discovery RSA,+02:00,GARMIN,2016-08-13,36
Discovery RSA,+02:00,GARMIN,2016-08-14,51
Discovery RSA,+02:00,GARMIN,2016-08-15,63
Discovery RSA,+02:00,GARMIN,2016-08-16,61
Discovery RSA,+02:00,GARMIN,2016-08-17,52
Discovery RSA,+02:00,POLAR,2016-08-13,24
Discovery RSA,+02:00,POLAR,2016-08-14,36
Discovery RSA,+02:00,POLAR,2016-08-15,47
Discovery RSA,+02:00,POLAR,2016-08-16,65
Discovery RSA,+02:00,POLAR,2016-08-17,42
Discovery RSA,+02:00,SAMSUNG,2016-08-13,83
Discovery RSA,+02:00,SAMSUNG,2016-08-14,91
Discovery RSA,+02:00,SAMSUNG,2016-08-15,125
Discovery RSA,+02:00,SAMSUNG,2016-08-16,124
Discovery RSA,+02:00,SAMSUNG,2016-08-17,99
Discovery RSA,+02:00,SAMSUNG,2016-08-18,2
Discovery RSA,+02:00,VALIDIC,2016-08-13,85
Discovery RSA,+02:00,VALIDIC,2016-08-14,86
Discovery RSA,+02:00,VALIDIC,2016-08-15,98
Discovery RSA,+02:00,VALIDIC,2016-08-16,119
Discovery RSA,+02:00,VALIDIC,2016-08-17,102
Discovery RSA,+02:00,VALIDIC,2016-08-18,1
Discovery RSA,+02:00,IHEALTH,2016-08-13,22
Discovery RSA,+02:00,IHEALTH,2016-08-14,17
Discovery RSA,+02:00,IHEALTH,2016-08-15,26
Discovery RSA,+02:00,IHEALTH,2016-08-16,23
Discovery RSA,+02:00,IHEALTH,2016-08-17,5
Generali France,+01:00,GARMIN,2016-08-16,1
Generali France,+01:00,GARMIN,2016-08-17,2
Generali France,+01:00,VITALITY SELF-REPORTED,2016-08-16,2
Generali Germany,+01:00,GARMIN,2016-08-13,2
Generali Germany,+01:00,GARMIN,2016-08-15,3
Generali Germany,+01:00,GARMIN,2016-08-16,2
Generali Germany,+01:00,GARMIN,2016-08-17,5
Generali Germany,+01:00,POLAR,2016-08-13,3
Generali Germany,+01:00,POLAR,2016-08-14,5
Generali Germany,+01:00,POLAR,2016-08-15,2
